personID,status,time
ID 0,entered,1558106638.693581
ID 0,entered,1558106638.775027
ID 0,entered,1558106638.881363
ID 0,entered,1558106638.956442
ID 0,entered,1558106639.0509272
ID 0,entered,1558106639.137038
ID 0,entered,1558106639.215264
ID 0,entered,1558106639.3029609
ID 0,entered,1558106639.379012
ID 0,entered,1558106639.4568892
ID 0,entered,1558106639.531828
ID 0,entered,1558106639.615991
ID 0,entered,1558106639.7035148
ID 0,entered,1558106639.791094
ID 0,entered,1558106639.8680232
ID 0,entered,1558106639.956366
ID 0,entered,1558106640.036124
ID 0,entered,1558106640.134196
ID 0,entered,1558106640.2321851
ID 0,entered,1558106640.306957
ID 0,entered,1558106640.385897
ID 0,entered,1558106640.455497
ID 0,entered,1558106640.5368881
ID 0,entered,1558106640.6247292
ID 0,entered,1558106640.701175
ID 0,entered,1558106640.7749429
ID 0,entered,1558106640.84906
ID 0,entered,1558106640.924648
ID 0,entered,1558106641.005552
ID 0,entered,1558106641.089101
ID 0,entered,1558106641.157349
ID 0,entered,1558106641.2364318
ID 0,entered,1558106641.3107998
ID 0,entered,1558106641.387479
ID 0,entered,1558106641.469048
ID 0,entered,1558106641.538841
ID 0,entered,1558106641.617375
ID 0,entered,1558106641.6968179
ID 0,entered,1558106641.7744782
ID 0,entered,1558106641.836085
ID 0,entered,1558106641.900738
ID 0,entered,1558106641.9658802
ID 0,entered,1558106642.028183
ID 0,entered,1558106642.1466491
ID 0,entered,1558106642.225719
ID 0,entered,1558106642.316042
ID 0,entered,1558106642.405408
ID 0,entered,1558106642.476825
ID 0,entered,1558106642.548851
ID 0,entered,1558106642.617069
ID 0,entered,1558106642.690721
ID 0,entered,1558106642.755945
ID 0,entered,1558106642.825394
ID 0,entered,1558106642.908965
ID 0,entered,1558106642.974935
ID 0,entered,1558106643.068502
ID 0,entered,1558106643.149675
ID 0,entered,1558106643.227617
ID 0,entered,1558106643.302179
ID 0,entered,1558106643.392098
ID 0,entered,1558106643.466763
ID 0,entered,1558106643.5371652
ID 0,entered,1558106643.60574
ID 0,entered,1558106643.674763
ID 0,entered,1558106643.750437
ID 0,entered,1558106643.84336
ID 0,entered,1558106643.9083798
ID 0,entered,1558106643.975141
ID 0,entered,1558106644.047015
ID 0,entered,1558106644.182602
ID 0,entered,1558106644.279863
ID 0,entered,1558106644.3642828
ID 0,entered,1558106644.434508
ID 0,entered,1558106644.514528
ID 0,entered,1558106644.598669
ID 0,entered,1558106644.668989
ID 0,entered,1558106644.740839
ID 0,entered,1558106644.8048608
ID 0,entered,1558106644.868288
ID 0,entered,1558106644.930488
ID 0,entered,1558106644.9949
ID 0,entered,1558106645.0860958
ID 0,entered,1558106645.158828
ID 0,entered,1558106645.234887
ID 0,entered,1558106645.331152
ID 0,entered,1558106645.446102
ID 0,entered,1558106645.549184
ID 0,entered,1558106645.618541
ID 0,entered,1558106645.692951
ID 0,entered,1558106645.7828321
ID 0,entered,1558106645.882085
ID 0,entered,1558106645.9931872
ID 0,entered,1558106646.07425
ID 0,entered,1558106646.1615648
ID 0,entered,1558106646.231301
ID 0,entered,1558106646.298329
ID 0,entered,1558106646.364841
ID 0,entered,1558106646.459549
ID 0,entered,1558106646.532337
ID 0,entered,1558106646.607769
ID 0,entered,1558106646.672235
ID 0,entered,1558106646.747294
ID 0,entered,1558106646.811763
ID 0,entered,1558106646.877183
ID 0,entered,1558106646.9371488
ID 0,entered,1558106646.9991539
ID 0,entered,1558106647.085369
ID 0,entered,1558106647.168391
ID 0,entered,1558106647.2602391
ID 0,entered,1558106647.343717
ID 0,entered,1558106647.4241128
ID 0,entered,1558106647.497917
ID 0,entered,1558106647.5744672
ID 0,entered,1558106647.633997
ID 0,entered,1558106647.696058
ID 0,entered,1558106647.752958
ID 0,entered,1558106647.810753
ID 0,entered,1558106647.875818
ID 0,entered,1558106647.9433432
ID 0,entered,1558106648.066496
ID 0,entered,1558106648.172362
ID 0,entered,1558106648.27322
ID 0,entered,1558106648.374279
ID 0,entered,1558106648.436546
ID 0,entered,1558106648.511168
ID 0,entered,1558106648.5764291
ID 0,entered,1558106648.6433148
ID 0,entered,1558106648.7055519
ID 0,entered,1558106648.788115
ID 0,entered,1558106648.85553
ID 0,entered,1558106648.9186969
ID 0,entered,1558106648.984899
ID 0,entered,1558106649.049319
ID 0,entered,1558106649.112612
ID 0,entered,1558106649.1781561
ID 0,entered,1558106649.2428842
ID 0,entered,1558106649.30553
ID 0,entered,1558106649.370423
ID 0,entered,1558106649.435953
ID 0,entered,1558106649.522409
ID 0,entered,1558106649.582805
ID 0,entered,1558106649.656733
ID 0,entered,1558106649.7257972
ID 0,entered,1558106649.7833421
ID 0,entered,1558106649.8416839
ID 0,entered,1558106649.903518
ID 0,entered,1558106649.967139
ID 0,entered,1558106650.093001
ID 0,entered,1558106650.1818008
ID 0,entered,1558106650.24285
ID 0,entered,1558106650.3101928
ID 0,entered,1558106650.376874
ID 0,entered,1558106650.445153
ID 0,entered,1558106650.5121112
ID 0,entered,1558106650.574267
ID 0,entered,1558106650.642581
ID 0,entered,1558106650.702074
ID 0,entered,1558106650.7635798
ID 0,entered,1558106650.8502889
ID 0,entered,1558106650.919009
ID 0,entered,1558106650.9872289
ID 0,entered,1558106651.053514
ID 0,entered,1558106651.127195
ID 0,entered,1558106651.192895
ID 0,entered,1558106651.272583
ID 0,entered,1558106651.347042
ID 0,entered,1558106651.404584
ID 0,entered,1558106651.4694989
ID 0,entered,1558106651.5399911
ID 0,entered,1558106651.611734
ID 0,entered,1558106651.685531
